Name,Price,Category,Color,,Size,Rating,Reviews,URL,Image URL,Product Number
VALLENTUNA 발렌투나,30000,팔걸이용 커버, 힐라레드 다크그레이,블랙,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vallentuna-cover-for-armrest-hillared-dark-grey-40329496/,https://www.ikea.com/kr/ko/images/products/vallentuna-cover-for-armrest-hillared-dark-grey__0404073_pe584433_s5.jpg?f=s,40329496
VALLENTUNA 발렌투나,60000,수납의자모듈커버, 힐라레드 다크그레이,블랙,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vallentuna-cover-for-seat-module-with-storage-hillared-dark-grey-40329509/,https://www.ikea.com/kr/ko/images/products/vallentuna-cover-for-seat-module-with-storage-hillared-dark-grey__0404269_pe588620_s5.jpg?f=s,40329509
KIVIK 쉬비크,249000,3인용소파커버, 힐라레드 앤트러싸이트,블랙,No Size,4,1,https://www.ikea.com/kr/ko/p/kivik-cover-three-seat-sofa-hillared-anthracite-40348918/,https://www.ikea.com/kr/ko/images/products/kivik-cover-three-seat-sofa-hillared-anthracite__0479959_pe619105_s5.jpg?f=s,40348918
STOCKSUND 스톡순드,99000,암체어커버, 놀하가 다크그린,그린,No Size,5,1,https://www.ikea.com/kr/ko/p/stocksund-cover-for-armchair-nolhaga-dark-green-40413777/,https://www.ikea.com/kr/ko/images/products/stocksund-cover-for-armchair-nolhaga-dark-green__0617843_pe688250_s5.jpg?f=s,40413777
EKTORP 엑토르프,49000,풋스툴커버, 렘마른 라이트그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/ektorp-cover-for-footstool-remmarn-light-grey-40472210/,https://www.ikea.com/kr/ko/images/products/ektorp-cover-for-footstool-remmarn-light-grey__0818505_pe774447_s5.jpg?f=s,40472210
VIMLE 빔레,209000,3인용섹션커버, 군나레드 베이지,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-for-3-seat-section-gunnared-beige-40495787/,https://www.ikea.com/kr/ko/images/products/vimle-cover-for-3-seat-section-gunnared-beige__0531865_pe647607_s5.jpg?f=s,40495787
VIMLE 빔레,149000,3인용섹션커버, 삭세마라 라이트블루,블루,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-for-3-seat-section-saxemara-light-blue-40496094/,https://www.ikea.com/kr/ko/images/products/vimle-cover-for-3-seat-section-saxemara-light-blue__0949337_pe799650_s5.jpg?f=s,40496094
GR_NLID 그뢴리드,169000,2인용섹션커버, 융엔 라이트그린,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-2-seat-section-ljungen-light-green-40501095/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-2-seat-section-ljungen-light-green__0577149_pe668623_s5.jpg?f=s,40501095
GR_NLID 그뢴리드,199000,2인용섹션커버, 스포르다 다크그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-2-seat-section-sporda-dark-grey-40501104/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-2-seat-section-sporda-dark-grey__0577167_pe668637_s5.jpg?f=s,40501104
EKTORP 엑토르프,219000,3인용소파커버, 긴의자/할라르프 그레이,0,No Size,4,1,https://www.ikea.com/kr/ko/p/ektorp-cover-for-3-seat-sofa-with-chaise-longue-hallarp-grey-40472639/,https://www.ikea.com/kr/ko/images/products/ektorp-cover-for-3-seat-sofa-with-chaise-longue-hallarp-grey__0818579_pe774501_s5.jpg?f=s,40472639
VALLENTUNA 발렌투나,30000,등받이커버, 셸링에 앤트러싸이트,0,80x80 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/vallentuna-cover-for-backrest-kelinge-anthracite-40487711/,https://www.ikea.com/kr/ko/images/products/vallentuna-cover-for-backrest-kelinge-anthracite__0937710_pe793826_s5.jpg?f=s,40487711
P_RUP 페루프,269000,3인용소파커버, 긴의자/군나레드 베이지,화이트,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/paerup-cover-for-3-seat-sofa-with-chaise-longue-gunnared-beige-40493991/,https://www.ikea.com/kr/ko/images/products/paerup-cover-for-3-seat-sofa-with-chaise-longue-gunnared-beige__0515739_pe639996_s5.jpg?f=s,40493991
VIMLE 빔레,30000,팔걸이용 커버, 삭세마라 블랙블루,블루,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-for-armrest-saxemara-black-blue-40496107/,https://www.ikea.com/kr/ko/images/products/vimle-cover-for-armrest-saxemara-black-blue__0949332_pe799643_s5.jpg?f=s,40496107
VIMLE 빔레,69000,수납풋스툴커버, 할라르프 그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-for-footstool-with-storage-hallarp-grey-40496174/,https://www.ikea.com/kr/ko/images/products/vimle-cover-for-footstool-with-storage-hallarp-grey__0949375_pe799682_s5.jpg?f=s,40496174
BACKS_LEN 박셀렌,159000,2인용소파커버, 할라르프 그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/backsaelen-cover-for-2-seat-sofa-hallarp-grey-40497258/,https://www.ikea.com/kr/ko/images/products/backsaelen-cover-for-2-seat-sofa-hallarp-grey__0950620_pe800549_s5.jpg?f=s,40497258
GR_NLID 그뢴리드,40000,팔걸이용 커버, 융엔 미디엄그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-armrest-ljungen-medium-grey-40500802/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-armrest-ljungen-medium-grey__0577158_pe668633_s5.jpg?f=s,40500802
GR_NLID 그뢴리드,120000,2인용 소파베드섹션 커버, 인세로스 화이트,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-2-seat-sofa-bed-section-inseros-white-40501175/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-2-seat-sofa-bed-section-inseros-white__0577135_pe668609_s5.jpg?f=s,40501175
STOCKSUND 스톡순드,349000,벤치, 놀하가 그레이베이지/라이트브라운/우드,화이트,No Size,5,1,https://www.ikea.com/kr/ko/p/stocksund-bench-nolhaga-grey-beige-light-brown-wood-s49033631/,https://www.ikea.com/kr/ko/images/products/stocksund-bench-nolhaga-grey-beige-light-brown-wood__0730170_pe737447_s5.jpg?f=s,49033631
STOCKSUND 스톡순드,499000,암체어, 융엔 블루/라이트브라운/우드,블루,No Size,4.7,3,https://www.ikea.com/kr/ko/p/stocksund-armchair-ljungen-blue-light-brown-wood-s49129308/,https://www.ikea.com/kr/ko/images/products/stocksund-armchair-ljungen-blue-light-brown-wood__0405135_pe575041_s5.jpg?f=s,49129308
LÅNGFJ_LL 롱피엘,169000,팔걸이 회의의자, 군나레드 베이지/블랙,화이트,No Size,3.5,2,https://www.ikea.com/kr/ko/p/langfjaell-conference-chair-with-armrests-gunnared-beige-black-s49175970/,https://www.ikea.com/kr/ko/images/products/langfjaell-conference-chair-with-armrests-gunnared-beige-black__0725425_pe734857_s5.jpg?f=s,49175970
LÅNGFJ_LL 롱피엘,169000,팔걸이 회의의자, 군나레드 라이트그린/블랙,그린,No Size,3.5,2,https://www.ikea.com/kr/ko/p/langfjaell-conference-chair-with-armrests-gunnared-light-green-black-s49176234/,https://www.ikea.com/kr/ko/images/products/langfjaell-conference-chair-with-armrests-gunnared-light-green-black__0725827_pe735069_s5.jpg?f=s,49176234
PO_NG 포엥,59900,풋스툴, 브라운/힐라레드 베이지,0,No Size,4.7,12,https://www.ikea.com/kr/ko/p/poaeng-footstool-brown-hillared-beige-s49197849/,https://www.ikea.com/kr/ko/images/products/poaeng-footstool-brown-hillared-beige__0497413_pe629095_s5.jpg?f=s,49197849
EKEDALEN 에케달렌 / EKEDALEN 에케달렌,578600,테이블+의자4, 다크브라운/오르스타 라이트그레이,0,120/180 cm,4.4,5,https://www.ikea.com/kr/ko/p/ekedalen-ekedalen-table-and-4-chairs-dark-brown-orrsta-light-grey-s49221279/,https://www.ikea.com/kr/ko/images/products/ekedalen-ekedalen-table-and-4-chairs-dark-brown-orrsta-light-grey__0737704_pe741220_s5.jpg?f=s,49221279
EKEDALEN 에케달렌 / EKEDALEN 에케달렌,578600,테이블+의자4, 자작나무/오르스타 라이트그레이,우드,120/180 cm,4.4,5,https://www.ikea.com/kr/ko/p/ekedalen-ekedalen-table-and-4-chairs-birch-orrsta-light-grey-s49221458/,https://www.ikea.com/kr/ko/images/products/ekedalen-ekedalen-table-and-4-chairs-birch-orrsta-light-grey__0737697_pe741212_s5.jpg?f=s,49221458
LÅNGFJ_LL 롱피엘,169000,팔걸이 회의의자, 군나레드 라이트그린/화이트,그린,No Size,3.5,2,https://www.ikea.com/kr/ko/p/langfjaell-conference-chair-with-armrests-gunnared-light-green-white-s49252572/,https://www.ikea.com/kr/ko/images/products/langfjaell-conference-chair-with-armrests-gunnared-light-green-white__0725805_pe735058_s5.jpg?f=s,49252572
GR_NLID 그뢴리드,59000,수납풋스툴커버, 융엔 라이트그린,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-footstool-with-storage-ljungen-light-green-40501161/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-footstool-with-storage-ljungen-light-green__0577154_pe668625_s5.jpg?f=s,40501161
S_DERHAMN 쇠데르함,15000,팔걸이용 커버, 토네루드 그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/soederhamn-cover-for-armrest-tonerud-grey-40519024/,https://www.ikea.com/kr/ko/images/products/soederhamn-cover-for-armrest-tonerud-grey__1057818_pe849001_s5.jpg?f=s,40519024
LÅNGFJ_LL 롱피엘,189000,팔걸이 회의의자, 군나레드 라이트 브라운핑크/화이트,0,No Size,4,1,https://www.ikea.com/kr/ko/p/langfjaell-conference-chair-with-armrests-gunnared-light-brown-pink-white-s49252647/,https://www.ikea.com/kr/ko/images/products/langfjaell-conference-chair-with-armrests-gunnared-light-brown-pink-white__0726949_pe735458_s5.jpg?f=s,49252647
