Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
LAGKAPTEN 락캅텐 / OLOV 올로브,"134,000",책상, 다크그레이/블랙,200x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/lagkapten-olov-desk-dark-grey-black-s89417552/,https://www.ikea.com/kr/ko/images/products/lagkapten-olov-desk-dark-grey-black__0976149_pe813042_s5.jpg?f=s,89417552
LAGKAPTEN 락캅텐 / OLOV 올로브,"134,000",책상, 화이트/블랙,200x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/lagkapten-olov-desk-white-black-s49417605/,https://www.ikea.com/kr/ko/images/products/lagkapten-olov-desk-white-black__0976164_pe813057_s5.jpg?f=s,49417605
LAGKAPTEN 락캅텐 / OLOV 올로브,"134,000",책상, 다크그레이/화이트,200x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/lagkapten-olov-desk-dark-grey-white-s69417534/,https://www.ikea.com/kr/ko/images/products/lagkapten-olov-desk-dark-grey-white__0976150_pe813039_s5.jpg?f=s,69417534
VOXLÖV 복슬뢰브 / ODGER 오드게르,"798,600",테이블+의자4, 대나무/앤트러싸이트,180x90 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/voxloev-odger-table-and-4-chairs-bamboo-anthracite-s29388680/,https://www.ikea.com/kr/ko/images/products/voxloev-odger-table-and-4-chairs-bamboo-anthracite__0997402_pe822662_s5.jpg?f=s,29388680
EKEDALEN 에케달렌,"249,000",확장형테이블, 화이트,80/120x70 cm,4.2,9,https://www.ikea.com/kr/ko/p/ekedalen-extendable-table-white-50340827/,https://www.ikea.com/kr/ko/images/products/ekedalen-extendable-table-white__0736975_pe740821_s5.jpg?f=s,50340827
EKEDALEN 에케달렌,"249,000",확장형테이블, 브라운,80/120x70 cm,4.2,9,https://www.ikea.com/kr/ko/p/ekedalen-extendable-table-brown-60340836/,https://www.ikea.com/kr/ko/images/products/ekedalen-extendable-table-brown__0736972_pe740836_s5.jpg?f=s,60340836
EKEDALEN 에케달렌,"249,000",확장형테이블, 다크브라운,80/120x70 cm,4.2,9,https://www.ikea.com/kr/ko/p/ekedalen-extendable-table-dark-brown-90340825/,https://www.ikea.com/kr/ko/images/products/ekedalen-extendable-table-dark-brown__0736973_pe740837_s5.jpg?f=s,90340825
EKEDALEN 에케달렌,"249,000",확장형테이블, 자작나무,80/120x70 cm,4.2,9,https://www.ikea.com/kr/ko/p/ekedalen-extendable-table-birch-80340840/,https://www.ikea.com/kr/ko/images/products/ekedalen-extendable-table-birch__0736971_pe740835_s5.jpg?f=s,80340840
MÖCKELBY 뫼켈뷔 / NORRARYD 노라뤼드,"1,438,400",테이블+의자6, 참나무/블랙,235x100 cm,2,2,https://www.ikea.com/kr/ko/p/moeckelby-norraryd-table-and-6-chairs-oak-black-s29482791/,https://www.ikea.com/kr/ko/images/products/moeckelby-norraryd-table-and-6-chairs-oak-black__0737500_pe741140_s5.jpg?f=s,29482791
MÖCKELBY 뫼켈뷔 / IKEA PS 2012,"1,438,400",테이블+의자6, 참나무/블랙,235x100 cm,2,2,https://www.ikea.com/kr/ko/p/moeckelby-ikea-ps-2012-table-and-6-chairs-oak-black-s59131792/,https://www.ikea.com/kr/ko/images/products/moeckelby-ikea-ps-2012-table-and-6-chairs-oak-black__0737495_pe741137_s5.jpg?f=s,59131792
MÖCKELBY 뫼켈뷔 / ODGER 오드게르,"1,498,400",테이블+의자6, 참나무/화이트/베이지,235x100 cm,2,2,https://www.ikea.com/kr/ko/p/moeckelby-odger-table-and-6-chairs-oak-white-beige-s59277020/,https://www.ikea.com/kr/ko/images/products/moeckelby-odger-table-and-6-chairs-oak-white-beige__0737501_pe741146_s5.jpg?f=s,59277020
MÖCKELBY 뫼켈뷔 / BERGMUND 베리문드,"1,618,400",테이블+의자6, 참나무무늬/인세로스 화이트,235x100 cm,2,2,https://www.ikea.com/kr/ko/p/moeckelby-bergmund-table-and-6-chairs-oak-effect-inseros-white-s89408473/,https://www.ikea.com/kr/ko/images/products/moeckelby-bergmund-table-and-6-chairs-oak-effect-inseros-white__0954364_pe803235_s5.jpg?f=s,89408473
OLIVBLAD 올리브블라드,"29,900",화분스탠드, 실내외겸용 블랙,58 cm,4,2,https://www.ikea.com/kr/ko/p/olivblad-plant-stand-in-outdoor-black-90486648/,https://www.ikea.com/kr/ko/images/products/olivblad-plant-stand-in-outdoor-black__1010787_pe828336_s5.jpg?f=s,90486648
